Week,MatchupId,Home/Away,Team,Player,Slot,Points,Eligible Slots
1,8,Home,House Of Cards,Zach Pascal,BE,20.3,"RB/WR, WR, WR/TE, RB/WR/TE, OP, BE, IR"
1,8,Away,Team Ram,Derrick Henry,RB,10.7,"RB, RB/WR, RB/WR/TE, OP, BE, IR"
1,8,Away,Team Ram,George Kittle,TE,9.8,"WR/TE, TE, RB/WR/TE, OP, BE, IR"
1,8,Away,Team Ram,David Montgomery,RB,0.0,"RB, RB/WR, RB/WR/TE, OP, BE, IR"
1,8,Away,Team Ram,Brandon Aiyuk,WR,0.0,"RB/WR, WR, WR/TE, RB/WR/TE, OP, BE, IR"
1,8,Away,Team Ram,Michael Thomas,IR,0.0,"RB/WR, WR, WR/TE, RB/WR/TE, OP, BE, IR"
1,8,Away,Team Ram,Corey Davis,WR,26.7,"RB/WR, WR, WR/TE, RB/WR/TE, OP, BE, IR"
1,8,Away,Team Ram,Jaylen Waddle,BE,16.1,"Rookie, RB/WR, WR, WR/TE, RB/WR/TE, OP, BE, IR"
1,8,Away,Team Ram,Darnell Mooney,RB/WR/TE,0.0,"RB/WR, WR, WR/TE, RB/WR/TE, OP, BE, IR"
1,8,Away,Team Ram,Washington D/ST,D/ST,1.0,"D/ST, BE, IR"
1,8,Away,Team Ram,Jameis Winston,QB,29.62,"QB, OP, BE, IR"
1,8,Away,Team Ram,Tevin Coleman,BE,2.4,"RB, RB/WR, RB/WR/TE, OP, BE, IR"
1,8,Away,Team Ram,Zach Ertz,BE,5.4,"WR/TE, TE, RB/WR/TE, OP, BE, IR"
1,8,Away,Team Ram,Dolphins D/ST,BE,4.0,"D/ST, BE, IR"
1,8,Away,Team Ram,Ryan Fitzpatrick,BE,0.72,"QB, OP, BE, IR"
1,8,Away,Team Ram,Mason Crosby,K,3.0,"K, BE, IR"
1,8,Away,Team Ram,Joshua Palmer,BE,2.7,"Rookie, RB/WR, WR, WR/TE, RB/WR/TE, OP, BE, IR"
1,8,Away,Team Ram,Tarik Cohen,IR,0.0,"RB, RB/WR, RB/WR/TE, OP, BE, IR"
1,8,Away,Team Ram,Dyami Brown,BE,0.8,"Rookie, RB/WR, WR, WR/TE, RB/WR/TE, OP, BE, IR"
